,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
18145,20171124,106298,Lucas Pouille,104327,Steve Darcis,1,185.0,23.7399041752,1,178.0,33.6892539357,5,7.0,1.0,57.0,38.0,34.0,11.0,11.0,0.0,0.0,1.0,0.0,87.0,53.0,29.0,11.0,11.0,4.0,11.0,1
18144,20171124,105676,David Goffin,104542,Jo-Wilfried Tsonga,1,163.0,26.954140999299998,1,188.0,32.5941136208,3,1.0,0.0,122.0,71.0,47.0,33.0,15.0,10.0,10.0,10.0,3.0,88.0,54.0,44.0,13.0,14.0,7.0,10.0,1
18143,20171124,104327,Steve Darcis,104542,Jo-Wilfried Tsonga,1,178.0,33.6892539357,1,188.0,32.5941136208,5,1.0,2.0,81.0,54.0,30.0,12.0,12.0,5.0,11.0,12.0,2.0,64.0,33.0,31.0,19.0,12.0,0.0,0.0,2
18142,20171124,106298,Lucas Pouille,105676,David Goffin,1,185.0,23.7399041752,1,163.0,26.954140999299998,3,6.0,2.0,95.0,53.0,33.0,21.0,14.0,6.0,11.0,12.0,0.0,74.0,48.0,40.0,17.0,14.0,0.0,0.0,2
18135,20171113,106233,Dominic Thiem,105676,David Goffin,1,185.0,24.194387405900002,1,163.0,26.934976043800003,3,1.0,6.0,49.0,21.0,14.0,10.0,9.0,2.0,7.0,2.0,5.0,58.0,38.0,28.0,9.0,8.0,5.0,6.0,2
18129,20171113,100644,Alexander Zverev,106058,Jack Sock,1,198.0,20.5667351129,1,185.0,25.1362080767,3,5.0,8.0,89.0,59.0,39.0,14.0,14.0,6.0,10.0,5.0,4.0,82.0,56.0,40.0,8.0,13.0,10.0,14.0,2
18130,20171113,100644,Alexander Zverev,105227,Marin Cilic,1,198.0,20.5667351129,1,198.0,29.125256673499997,3,9.0,2.0,94.0,52.0,42.0,20.0,14.0,4.0,6.0,5.0,1.0,80.0,50.0,37.0,17.0,15.0,1.0,4.0,1
18131,20171113,103819,Roger Federer,106058,Jack Sock,1,185.0,36.265571526399995,1,185.0,25.1362080767,3,5.0,1.0,63.0,40.0,36.0,15.0,11.0,0.0,0.0,11.0,6.0,86.0,52.0,36.0,20.0,11.0,5.0,6.0,1
18132,20171113,103819,Roger Federer,105227,Marin Cilic,1,185.0,36.265571526399995,1,198.0,29.125256673499997,3,17.0,2.0,93.0,64.0,49.0,19.0,15.0,1.0,1.0,12.0,4.0,99.0,50.0,35.0,27.0,14.0,6.0,9.0,1
18133,20171113,103819,Roger Federer,100644,Alexander Zverev,1,185.0,36.265571526399995,1,198.0,20.5667351129,3,6.0,2.0,98.0,52.0,43.0,25.0,15.0,9.0,11.0,8.0,8.0,107.0,67.0,49.0,17.0,16.0,4.0,8.0,1
18134,20171113,105777,Grigor Dimitrov,105676,David Goffin,1,188.0,26.496919917899998,1,163.0,26.934976043800003,3,2.0,1.0,47.0,27.0,23.0,11.0,7.0,1.0,1.0,2.0,5.0,57.0,32.0,20.0,5.0,7.0,6.0,11.0,1
18128,20171113,106058,Jack Sock,105227,Marin Cilic,1,185.0,25.1362080767,1,198.0,29.125256673499997,3,9.0,2.0,104.0,61.0,46.0,23.0,16.0,4.0,7.0,13.0,4.0,101.0,64.0,49.0,18.0,16.0,6.0,10.0,1
18136,20171113,105777,Grigor Dimitrov,106233,Dominic Thiem,1,188.0,26.496919917899998,1,185.0,24.194387405900002,3,5.0,5.0,97.0,52.0,40.0,25.0,17.0,0.0,2.0,8.0,6.0,93.0,44.0,35.0,25.0,16.0,5.0,8.0,1
18138,20171113,105807,Pablo Carreno Busta,106233,Dominic Thiem,1,188.0,26.340862423,1,185.0,24.194387405900002,3,2.0,1.0,104.0,67.0,41.0,18.0,14.0,9.0,13.0,12.0,2.0,79.0,41.0,37.0,15.0,14.0,0.0,3.0,2
